,tweets
351,"""“A male adult suffered two broken legs, and one female adult suffered moderate injuries.”\n\nThe woman who was arrested and charged with attempted murder after driving through a crowd of #TrumpSupporters in #California was identified as an event organizer. https://t.co/0deS48Cjis"""
352,"""Check out our NEW Trump products! Limited time only use coupon code TRUMP20 to get 20% OFF Trump products\nhttps://t.co/pVvFrfKzsj\n#trump2020 #trumpsupporters https://t.co/KjSBjC50Gi"""
353,"""@aidso67 Americans can't, it will become a game show.\nThere will be videos of Trump lying on a bed, then taking his first steps, then him claiming he beat it. \nIt's like a Rocky film😬\nThey really are the thickest bunch of Muppets I've ever seen.\n#TrumpSupporters"""
354,"""Ahhhh all the #trumpsupporters are coming out everywhere! Even where you least expect it! Well having 100+ followers and following 120 accounts was fun while it lasted.  You support trump I do not support you. #VoteBidenHarrisToSaveAmerica"""
355,"""#trump #protrump #maga #republican #conservative #conservativememes #america #rightwing #makeamericagreatagain #kag #proamerica #donaldtrump #lovetrump #republicanmemes #trumpsupporters #americafirst #trumptrain #womenfortrump #walkaway #keepamericagreat #proudtobeanamerican"""
356,"""Randy calling out far too many with this one. #TrumpSupporters https://t.co/aL5lxfqWvA"""
357,"""Fake News, election tampering, creep Jim Acosta gets caught in another huge lie:           #FakeNews #Trump #WhiteSupremacy #maga https://t.co/vy04CqbHGa"""
358,"""God bless the president and the first lady. If you pray, please pray for their speedy and complete recovery — and for everyone infected, everywhere.\n\nThis virus is horrific and merciless — no one would wish its wrath on anyone.\n\nWe must get its spread under control. Enough."""
359,"""Armed Trump supporters set up illegal blockades along evacuation routes in Oregon, threatening anyone who \"""
360,"""Of course @realDonaldTrump he DID! When are his #TrumpSupporters going to realize #Trump doesn’t care for ANYONE other than HIMSELF! Not even his family!"""
361,"""If you watch the videos of #KyleRittenhouse you can see he was clearly acting in self defense, but at the same time if cops use a no-knock warrant on the WRONG house and end up killing someone then they need to be held responsible. #Brionnataylor"""
362,"""#TrumpSupporters \nNotice the same bullshit then and now. Trump sucks https://t.co/9vBEzvgqrW"""
363,"""WATCH: Bob Woodward grilled on @HBO about #TrumpSupporters (a true cult) being disconnected from reality on #COVID19\nhttps://t.co/mbvrb5vage https://t.co/2Vh1DoKtcj"""
364,"""Breaking: President Trump has arrived at Walter Reed Medical Center \"""
365,"""#TrumpSupporters Joe Biden is pulling his negative ads. The Trump campaign, of course, will do no such thing https://t.co/DXwmAAMn9w #GOPCorruptionOverCountry #GOPHypocrites #GOPSuperSpreaders #TrumpCovid #TrumpSuperSpreader"""
366,"""@Alexbobby2262C RT: BLM Democrat Plows Threw Thin Blue Line Supporters In California &amp; Police Arrest Her Minutes Later \nSO GLAD THIS IMBECILE WAS STOPPED AND ARRESTED BY THE POLICE!!!!! #YorbaLinda #CALIF #TrumpSupporters \n👏👏👏👏👏👏👏👏👏👏👏👏👏 https://t.co/IuUL5HsBV9"""
367,"""#TrumpSupporters begin to stand vigil for the president and First Lady. \n#TrumpHasCovid https://t.co/8SIZXO2WMX"""
368,"""Are you aware of #walkaway?"""
369,"""@DeAnna4Congress No. But that’s quite a display of ignorance in the way you worded that. \nAren’t Republicans @GOP #Trumpsupporters refusing to wear masks? So why is it “odd” that they are being exposed to #COVID19? It’s not. It’s choices we see people make."""
370,"""NFL TV Ratings Are In The Toilet. There's Probably 1 Major Reason Why https://t.co/WkZ4Svlyji"""
371,"""#TrumpSupporters it all begins to unravel for you in 6 short weeks...you had power you abused power you blew it #NEVERAGAINGOP"""
372,"""Now these idiot #TrumpSupporters saying Biden wore a wire!🤨 It's not his fault that he is over qualified answering questions when compared to trump! https://t.co/njNP3mvIyh"""
373,"""#Black #TrumpSupporters y'all cool with this. https://t.co/3dV7lSocH9"""
374,"""@rumadyet60 Apparently #TrumpSupporters like their kool-aide. So so sad that the USA has become so divided over the last 4 years. Our country has lost the respect that our forefathers have worked so hard to establish. https://t.co/fv3szSpmht"""
375,"""I can't believe #TrumpSupporters are still defining his gross ass😡 after late night. #yourdisgusting #clowns https://t.co/rvrEXZ81o9"""
376,"""Addition evidence that #Left, #Democrats are the ones fomenting #Hate #Division #Violence by branding #TrumpSupporters (#Christians #Conservatives #Republicans) as sub-human. The evidence is overwhelming against #BidenHarris as #Deadly to #America. \n\nhttps://t.co/7NiWf3gxLn"""
377,"""@realDonaldTrump But you have your #TrumpSupporters packed in like Sardines in can #hypocrisy at its best #dumbiesinredhats https://t.co/ksqVtS8BVp"""
378,"""THIS! #TrumpSupporters rant and rail and rejoice in the suffering of others, but as soon as the shoe’s on the other foot they cry foul. They’re ALWAYS playing the victim.\n\n#RealSnowflakes"""
379,"""The look #TrumpSupporters have after going to his maskless rallies and then find out he has Covid https://t.co/jahyq9HgI7"""
380,"""That is truly the question?\n@ #TrumpSupporters \n@GOP https://t.co/fO6QNmBypv"""
381,"""#Trump is a #traitor, who lies about everything. \n\nThis isn't a debate, it's a schoolyard bully trying to overtalk the debate mod into submission. \n\nAll #Trumpsupporters are #traitors to #America. \n\n#Debates2020 \n#BidenHarris2020 \n#EndFascismInAmerica \n#ResistanceIsNotFutile https://t.co/SV2K6T2P0E"""
382,"""Internet do your thing #TrumpRiots #TrumpSupporters #dox https://t.co/D02f0ERxV8"""
383,"""@JRubinBlogger Here you go. This should calm you down. POTUS being taken to Reed. \n\nNothing to worry about! \n\n#MAGA https://t.co/lDZAUHUXcJ"""
384,"""When a professor wants cops, capitalists (free Americans) &amp; politicians he does not like murdered &amp; strangled with their own intestines, the left calls it free speech. But don't you dare call them by the wrong pronoun... https://t.co/ZqQnHDb2Zm #education #indoctrination #MAGA"""
385,"""While @realDonaldTrump is recovering, remember the only thing worse than COVID-19...\n\n...is Biden-20.\n\n#PrayForTrump #MAGA #Trump2020 #FoxNews #AmericaFirst https://t.co/QqLqTUaGnS"""
386,"""To you #WV #MAGA #TrumpSupporters trump is living it up, while some of you sit in your houses without food, are going to get your healthcare taken away, for your own sake, PLEASE WAKE-UP, he is a con, you can't deny this, they have the documents, admit it!"""
387,"""I don't  understand #FOXNEWS and am stopping watching most of it...why do they allow #JUANWILLIAMS who despises #TRUMP and continues to label #TRUMPSUPPORTERS as causing violence when that is NOWHERE near what is  happening?  Get #Williams off or I'm getting off!"""
388,"""Let me be clear: The voters should pick a President, and that President should select a successor to Justice Ginsburg."""
389,"""*sigh* I had to wake up to people yelling at each other because someone supports Trump I don't care if you support Trump just let me get my sleep #TrumpSupporters https://t.co/BN6SVZeVwD"""
390,"""Rise, shine &amp; hold your head high\nEven on dark days stand tall &amp; find the sunlight\n\nBe bright, sunny &amp; positive\nSpread seeds of #MAGA happiness\n\nWe are all golden sunflowers inside\n\n#SaturdayMorning\n#YouAreMySunshine\n#StayOnTheSunnySide\n#PrayingforTrump https://t.co/de1dfOKOs5"""
391,"""President Trump will return and make China pay！#MAGA https://t.co/BlifLDVTrm"""
392,"""Idea for people getting their signs stolen 🤣 #trump2020 #trump #trump2020🇺🇸 #trumpsupporters https://t.co/0dHRpxSmzt"""
393,"""@JackPosobiec I know, isn’t it great...I love #MAGA ! #WeLoveTrump"""
394,"""@bblock29 Nope 👎😂#Trumpsupporters 👇 https://t.co/DHXossfO4s"""
395,"""@JohnJHarwood Not me. I'd rather be an #American than a #TrumpSupporters"""
396,"""#Trump is a #Traitor \nAll #TrumpSupporters are #traitors...\n\nAs #Americans, it is our DUTY to #OccupyTheStreets and #VoteBlueToSaveAmerica. \n\nNothing else is acceptable. \n\n#EndFascismInAmerica \n#ResistanceIsNotFutile https://t.co/WgNdZuzSuC"""
397,"""Trump and His Aides Have Long Played Down Importance of Face Masks, Distancing\n\nRight up until the hours before the president tested positive for coronavirus, he and his staff often dismissed or ignored public-health safety precautions\n\n#MAGA MORONS ‼️ https://t.co/Ji0p22zM8o"""
398,"""From #TheTrumpCentury: \"""
399,"""The Beast came roaring out last night &amp; it was sickening to see. Even if you are #Trumpsupporters, even you know, that was no debate; our system relies on at least a show of willingness to listen with an open mind to the other side. We didn’t get that. And don’t forget #COVID19 https://t.co/I6wMM8d9Ne"""
400,"""#TrumpSupporters his words “you are disgusting people. Let that sink in. #TrumpIsALiar #TrumpIsANationalDisgrace https://t.co/UvyUNRYFul"""
401,"""@RepAndyBiggsAZ @realDonaldTrump Since when were we all so delicate with our rhetoric? 🙄 #MAGA https://t.co/UEw5EbOrgM"""
402,"""@AWilliams746 @mtgreenee #TrumpSupporters Unless you can take a helicopter ride to the hospital for cautionary measures you need to #MaskUp"""
403,"""@PositiveAbraham Wishing and praying for #PresidentTrump and #FLOTUS's speedy recovery. Will follow back #TrumpSupporters"""
404,"""Victor is playing the role of supportive husband today (which is obviously no different than any other day!) #WalkAway https://t.co/sOujmJFApV"""
405,"""#CovidCaughtTrump Clarification: @GOP and diehard #TrumpSupporters are shitting bricks right now! The rest of America is saying I TOLD YOU THE FUK SO!"""
406,"""Let that sink in #maga #Trumpets #TrumpSupporters"""
407,"""The only truth I have ever heard him speak 💯\n#trump #maga #donaldtrump #usa #republican #america #politics #conservative #kag #trumptrain #makeamericagreatagain  #keepamericagreat #draintheswamp #meme #presidenttrump #trumpsupporters #americafirst #walkaway #trumpmemes https://t.co/p7DaF1KrpX"""
408,"""Mental health is real guys! And it shows #Trumpsupporters need the help but don’t want it! That is called denial! Lack of accepting reality? It is what it is!"""
409,"""Some hoax huh #TrumpSupporters #TrumpHasCovid"""
410,"""Hey #TrumpSupporters \nHe was talking about you! No one else wants to shake his hand. Please recognize he is using you. \n#Trump2020 #TrumpPence2020 \n#WakeUp #StayWoke #Resist \nJoin #TheResistance"""
411,"""yup #trumpsupporters - THIS IS ALL YA’LL! https://t.co/tKutbv7rrn"""
412,"""US coronavirus: As doctors worry about an 'apocalyptic fall,' the CDC retracts Covid-19 info https://t.co/YJPHXdInYs \n\nDearest #MAGAts and the ENTIRE @GOP ...\n\nWHAT WILL IT TAKE?\n\nWhen YOUR Children DIE from #COVID19 ...\n\nTHEN ... WILL YOU ABANDON #Trump?"""
413,"""Trump has been to several states in the week before his positive COVID-19 diagnosis carrying out his duties as president and Republican candidate. https://t.co/fPxrBdnhp0"""
414,"""At this point all #TrumpSupporters are #Racists and should be treated as such. After 3yrs of this shit, don't for a second think they're not. I don't care what you're friends tell you. #Trump tells white audience in Minnesota they have 'good genes' https://t.co/amtyuB7ljU"""
415,"""@politicat1 So why do you call joe biden anti American for not clearing denouncing Antifa? You dont call it world police when you try to script his words.  #Trumpsupporters are big hypocrites 🙄"""
416,"""#TrumpSupporters what is it like knowing that undocumented immigrants have paid more taxes than the \"""
417,"""@ProjectLincoln To some of those men, a dog was a prop to win votes. Trump doesn't need a dog for votes. Even Hitler was a dog lover. I guess Trump isn't as bad as Hitler after all."""
418,"""#trump house from a dedicated #TrumpSupporters https://t.co/AJ0CCVEUzo"""
419,"""Veteran E! host Giuliana Rancic released a statement announcing she and her family all have coronavirus. Read the full statement: https://t.co/JCMpaejtZA https://t.co/OAYSaMH8po"""
420,"""@itsJeffTiedrich @realDonaldTrump $200? Try $12 for a stupid 1 hr for #loser #Trumpsupporters https://t.co/NK25XHzn14"""
421,"""The scene outside #WalterReedHospital. Some #maskless #TrumpSupporters chanting “USA, USA, USA!” https://t.co/9EDXfhiMe7"""
422,"""KEN and KAREN...MIND YOUR BUSINESS \n#BidenHarris2020 \n#BidenHarrisLandslide2020 \n#Trump\n#TrumpSupporters \n#KarensGoneWild \n#Ken \n#BlackLivesMatter \n#RacistTrump \n#mindyourbusiness https://t.co/wjPdHd6mow"""
423,"""I’m waiting for #Republicans to condemn this 💩! #TrumpSupporters using intimidation to suppress the vote. It’s illegal!!!! https://t.co/ZR58XXmlrY"""
424,"""How they felt then, &amp;, though some sentiments have changed, there are those who feel this way, i.e., #TrumpSupporters.\nThey're mostly elderly &amp; on they're way out, but still try to spread this to their kids.\nBut, there are more of those who they don't want, than there are of them https://t.co/bXnA1oqeZ5"""
425,"""@RadioFreeTom @JVLast I suspect they've sunk to new levels... 🙄 #TrumpSupporters https://t.co/rKY8aGYD5d"""
426,"""The real #VoterSuppression appears to affect mostly #TrumpSupporters.\n\n[UPDATED] Military Ballots Found in the Trash in Pennsylvania—Most Were Trump Votes https://t.co/LVZWyVV9d3"""
427,"""Hi. Our basic human rights afforded to us by the Constitution will be gone if we elect these psycho, anti-American Democrats. \n\n#WakeUp #WalkAway #BLEXIT 🇺🇸♥️\n\n https://t.co/mrYDbnp0So"""
428,"""#AZCD2 #christianity #trump #maga #kag #donaldtrump #conservative #republican #usa #trumptrain #makeamericagreatagain #america #keepamericagreat #qanon #draintheswamp #wwg #wga #americafirst #a #walkaway #trumpsupporters #presidenttrump #politics  #trumpmemes #fakenews"""
429,"""#TrumpHasCovid #TrumpSupporters like https://t.co/XEYHBLWORF"""
430,"""Basically all #republicans #trumpsupporters #VOTEHIMOUT https://t.co/rF19bCQG6r"""
431,"""Let us school #trumpsupporters https://t.co/cIE3y7w048. #VoteBlue2020  #VoteBidenHarrisToSaveAmerica https://t.co/54L0zeaFgy"""
432,"""If you're going to blame #Biden2020 supporters &amp; #BLM, LEARN WHAT THE HELL SYMBOLS WE USE &amp; DON'T.\nANARCHY SYMBOLS REALLY?🙄\nWow. #TrumpSupporters can't you do a BETTER SETUP JOB THAN THIS? \n#200KDeadAmericans\n#VoteOutEveryRepublican \n#COVID19\n#TrumpIsLosing \n#BreonnaTaylor \n@cnn"""
433,"""I guess we're learning who would have hidden Anne Frank and who would have turned her in for the money.\n\n#TrumpSupporters"""
434,"""#TrumpSupporters  obviously 🤔 #Rapeublicans https://t.co/TjHOEx1SlM"""
435,"""TRUMP WENT TO BEDMINSTER AND EXPOSED STAFF AND FUNDRAISER ATTENDEES WHEN HE ALREADY KNEW HE HAD COVID!?! WHEN HE WAS ALREADY SYMPTOMATIC AND RECEIVING TREATMENT!"""
436,"""#Illinois #TrumpSupporters \n10.4.20\n2pm\nHinckley \n#TrumpRally https://t.co/VnEuzTajsP"""
437,"""Never underestimate the power of stupid people in large numbers. #2016Election\n\nThese idiots are fun to laugh at until some gets hurt.\nThe Giant #ProudBoys Rally That Wasn't.  @VICENews⁩ \n#ProudBoysAreTerrorists #AltRight #Republicans #TrumpSupporters https://t.co/TA4ok3t6SM"""
438,"""Nice to know there are still good people in America. ✌️😇🇺🇸 None of them are #Trump 🤡 #TrumpSupporters 👿, #COVIDIDIOTS 🤤, #GOP 👤or #PutinsPuppets👥 though.👥👀😡 @BrunosWahine"""
439,"""There is no greater warrior in America than President @realDonaldTrump. \n\nHe will defeat this. #MAGA #AmericaFirst https://t.co/pjsue4GgOu"""
440,"""#TrumpSupporters in a nut shell. #vote https://t.co/tOgm9LbSh1"""
441,"""Justice Ginsburg’s dying wish was that her seat would not be filled until a new president is installed! Senate Democrats, do not back down. You have a tough fight ahead but our future is on the line! No SCOTUS appointment before the election!!!"""
442,"""Someone, anyone, please help me understand how #TrumpSupporters can't see that the @realDonaldTrump regime and the @GOP are indeed, not just trying, but actually succeeding in #murdering them, &amp; us, by the tens &amp; hundreds of thousands? #AmericaOrTrump #TrumpLied200KAmericansdied"""
443,"""#republican #trump #maga #conservative #donaldtrump #kag #makeamericagreatagain #liberal #trumptrain #keepamericagreat #gop #republicans #americafirst #freedom #prolife #conservativememes #election #draintheswamp #rightwing #trumpsupporters #walkaway #buildthewall https://t.co/vTWgJWBnyC"""
444,"""#trump #maga #kag #republican #conservative #donaldtrump #usa #trumptrain #keepamericagreat #makeamericagreatagain #wwg #wga #america #draintheswamp #americafirst #trumpsupporters #walkaway #buildthewall #politics #thegreatawakening #fakenews\n\nOrder here: https://t.co/5RK69OV8GU https://t.co/FvxfbvLEQq"""
445,"""This is a good time to remind everyone that Trump is currently being taken care of by socialized medicine. In fact, the entire military is funded by taxpayers, including hospitals."""
446,"""What separates winners from losers is how much they pay in taxes. #maga #nopinchewall ~ https://t.co/dQuW5NTUeX"""
447,"""Destroying #TrumpSupporters with logic and style. https://t.co/p20Dk9CV7H"""
448,"""Our hearts go out to the police officers who were shot during protests in Louisville, Kentucky.\n\nMob justice is not justice. https://t.co/3j5tU7c82D"""
449,"""A true #TrumpSupporters don't care about face mask and this is dangerous  look about  your leader #TrumpHasCovid https://t.co/x2oTOaoUgt"""
450,"""No. They are all lost.\n\nAll #Trump supporters are willful #traitors at this stage, participants in a #coup to install a #fascist dictator and overthrow the #American government. \n\nAll #TrumpSupporters are #DomesticTerrorists.\n\n#EndFascismInAmerica \n#ResistanceIsNotFutile"""
451,"""Bikers leading the Vietnamese-Americans for Trump parade in Margate, Florida.\n#TRUMP2020 #MAGA #TRUMPSUPPORTERS https://t.co/najMlRhiaV"""
452,"""Hey #TrumpSupporters, #Evangelicals, and #Christians! If the #GOP manages to get a judge, don't worry, we'll just go to Canada to get our #abortions 😊"""
453,"""I will go out and say that #TrumpSupporters as a whole denounce white supremacy and the KKK!\n\nUNFOLLOW ME IF YOU DISAGREE"""
454,"""A MUST SEE 🤗\nTwo gracefully gorgeous #Friends\n#Psych101 - human nature is to be kind, help one another\n\n#TrumpSupporters\nDo u belong to the 1%ers then\n#TrumpFriendsUHaveBeenDuped by a 1% money grubbing human abomination subset\n\nWeep SAVE U #VoteBlue2020\n#Vote99PercentSolution"""
455,"""@Make_USA_Blue @Clyder36657669 @kirkacevedo Cat and dog lover here.  Sad to see how ppl can hate animals.  #Deplorable\n\nNot surprising to see how these #TrumpSupporters will make statements and NEVER have any sources to back them up.  😂.   Trump sure loves his uneducated lot."""
456,"""I can't believe I used to worry about wearing my Hellboy t-shirt on the train because I was afraid someone would think it was the Aryan Fist. Twitler rants and raves every night and his supporters are all HE'S NOT RACIST :D\n\nI gave people too much credit.\n\n#TrumpSupporters #Trump https://t.co/UuojlbwUFw"""
457,"""@realDonaldTrump guy who wants to give every senior citizen a $200 bribe says what"""
458,"""WATCH: BLM protestors showed up at the #WalkAway Campaign Unsilent Majority march at the Lincoln Memorial and were swiftly contained by officers while the crowd yelled \"""
459,"""Back home in LA! Fighting for freedom and ready to rock DC this weekend for the @RealWalkAway extravaganza! Get your tickets and come meet me! @BrandonStraka #joytribe #WalkAway https://t.co/pYfSJBCdS6"""
460,"""#MaskUpAmerica \n\n#TrumpSupporters are really losing their sh*t right now, I wouldn’t be surprised if they double-triple down on running around not wearing masks and breathing on each other while they try to find people to harass this weekend. &gt;:P https://t.co/NZXD8tHBrg"""
461,"""@realDonaldTrump #RacistInChief #TrumpIsRacist #TrumpIsARacist #RepublicanRacism #RacistRepublicans #Vote #VoteHimOut #VoteHimOut2020 #VoteInPerson #VoteBlueToSaveAmerica #VoteReady #VoteBidenHarris2020 #VoteBidenHarris #VoteBidenHarrisToSaveAmerica #BidenHarris2020 #BidenHarris https://t.co/SFdpymhUsO"""
