,tweets
70,"""Fucking trump supporters on the over pass with their make America great again hats and American flags! Fuck trump #WalnutCreek  Location  \nel curtola blvd! #trump #TrumpSupporters https://t.co/feuuPLbeTD"""
71,"""Our GREAT RALLY tonight in Pennsylvania. Tremendous energy! #MAGA https://t.co/kL29rJe6sh"""
72,"""Today we meet at Freedom Plaza in DC at 11 AM and March to Sylvan theater for our big big big rally tomorrow beginning at 12:30 PM at Sylvan! Let’s do this!!!! #UNSILENT #WalkAway"""
73,"""Wonder whatever happened to this absolute moron?\n#WearAMask #COVIDIOTS #StupidPeople #TrumpSupporters \nhttps://t.co/LlGHllCUwL"""
74,"""#TrumpSupporters Please use good self care right now!! Stay Healthy! We are no good as a TEAM 🇺🇸 if we can’t make it to the polls, tweet, rally, boat parades, truck parades..he needs US! #FluShot2020 https://t.co/9HUTDNkWXd"""
75,"""@realDonaldTrump #Trump2020 Campaign Scorecard 09/23/20\n\n#Trump's achieved 102.5% of his goal to have 200,000 Americans die from COVID-19\n\n#Trump's achieved 97.8% of his goal to lose his 7th TRILLION DOLLARS while in office\n\n#Trump's #CovidSuperSpreaderEvents will kill #TrumpSupporters &amp; Families"""
76,"""People not wearing masks giving me dirty looks for giving them dirty looks for not wearing masks are a whole new level of go fuck yourself."""
77,"""Not all heroes wear capes.\n\nThis is my America... https://t.co/1GXhuPTmB9"""
78,"""Calling #TrumpSupporters bigots does not offend them. They are offended by “PC culture” and when #trump makes offensive remarks, it makes them like him more. We need to stop engaging and attacking and just laughing at them. Like when someone is mad at you in traffic a friendly..."""
79,"""AMAZING! HUGE crowds for #walkaway in Washington DC! “We must vote Republican across the board to SAVE OUR COUNTRY! 🇺🇸🇺🇸🇺🇸 @BrandonStraka @realDonaldTrump https://t.co/vLhQNA799x"""
80,"""When I have #TrumpSupporters trying to run me down cause I stand up for #BlackLivesMatter https://t.co/2k0DQXSMhN"""
81,"""You’re f*insane. All #TrumpSupporters are nuts. Kool-aid drinkers. How do u explain him down-playing it after knowing how serious it was? Its on a recording for everyone to hear he just said it hardly affects anyone &amp; only older people #TrumpLied200KAmericansdied wear a damn mask"""
82,"""@realDonaldTrump Get well soon, Mr. President! #MAGA"""
83,"""Open Tweet to #MAGA, when we elected Trump to be our President, we've opened Pandora's box, please realize this."""
84,"""\"""
85,"""850 Americans died of COVID-19 yesterday.\nNone got the special “antibody cocktail.”"""
