,tweets
360,"""@NBCNews Seriously, trying to debate with a moron constantly rambling nonsense is pointless.  Like \"""
361,"""Lol. A brand new border for us to worry about. Will there be a wall around Kent? \n\n#BuildTheWall"""
363,"""NEW Gove confirms a de facto internal border in Kent - rephrasing previous tweet (this is something transport industry been v worried about)\n\nTruckers will have to have a \"""
364,"""https://t.co/wuxlSzAI1x"""
365,"""Trump’s the biggest fighting-force I’ve ever known in modern US history. I’m certain he’s gonna pull through, and with our love and support, we’re wrestling for the heart and soul of Washington together.#MakeAmericaGreatAgain"""
366,"""@nprpolitics Funny thing is, I'll believe a conspiracy theory WELL before I ever believe ANY mainstream media outlet. And I guarantee most of what QAnon says, has and will come true. You are just trying to protect YOUR SECRET, CRIMINAL SOCIETY, THE ESTABLISH. #DrainTheSwamp"""
367,"""There are no coincidences #TrumpTrain.  Pray but also be ready for EVERYTHING!\n#MAGA  #KAG"""
368,"""Even our local giraffe knows what the deal is. #MAGA https://t.co/9UJOK3kWEA"""
369,"""If you are #TrumpSupporters #MAGAts #Republican @GOP you are also a #Fascist https://t.co/37wJyPfBbS"""
370,"""#ILLEGALimmigrants arrested packed like sardines in #Texas stash houses. \n\nThe undocumented issue is not over. #BuildTheWall"""
371,"""I sent a letter to AG William Barr, requesting that he appoint an independent Special Counsel to open a investigation to determine whether NY AG Letitia James violated any laws by her conduct or rhetoric against President @realDonaldTrump &amp; his family. https://t.co/wPb37uUPj7"""
372,""".@realDonaldTrump was the dominant force last night. \n \nWhile Joe Biden dodged questions and name called, President Trump outlined to the American people how his policies will continue to #MakeAmericaGreatAgain!"""
373,"""🇺🇸🙌This San Diego, California boat parade for \n@realDonaldTrump\n is HUGE💪🇺🇸\n🇺🇸President Donald J.Trump 🇺🇸\n.\nLove❤️ peace💜 FIRST FAMILY🇺🇸\n.\n#americanpresident #donaldtrump #mikepence #trumpsupporters #trump2020 #trumpnation https://t.co/FS9olSNIXn"""
374,"""Backstage at the #WalkAway UNSILENT MAJORITY March on Washington! https://t.co/Cp7hJ1kIgh"""
375,"""LMAO WATCH THIS 🇺🇸🙌🏿🙌🏿\n\n#TrumpTrain #VoteTrump2020ToSaveAmerica \n\n https://t.co/Np4lddy7OW"""
376,"""@theblaze Why do #TrumpSupporters like being lazy welfare queens?\n\n#DefundRedStates https://t.co/eQLusTrhHI"""
377,"""U.S./Mexico Border Wall Puts Animals In Danger Of Extinction\nSeeker - 13 Mar 2017\n\n#Misinformation\n\nExample, the map (at 2 minutes) is an area (not near the border) for an \"""
378,"""#BUILDTHEWALL  get your Trump 2020 Car Air Freshener @ Amazon  https://t.co/7wiiWt2n0q https://t.co/p64dPDO6DV"""
379,"""I wish good luck to Donald Trump #MakeAmericaGreatAgain"""
380,"""At the #PresidentialDebate watch party in Pompano Beach, FL.\n\nWe are all in for @realDonaldTrump and ready to #LeadRight to #MakeAmericaGreatAgain! https://t.co/PKRI1cyDaS"""
381,"""“I am making superhuman efforts to educate the people.” – @realDonaldTrump #MakeAmericaGreatAgain"""
382,"""Dear #MAGA conspiracy theorists,\n\nThe reason you're not seeing Democrats getting Covid is they're wearing masks, social distancing &amp; washing their hands frequently.\n\nThe \"""
383,"""I'll pray for the grocery store, retail, factory workers who died because trump lied about the virus and put them all in danger\n#TrumpHasNoPlan\nI'll pray for everyone who is going to die because they come in contact with the selfish #TrumpSupporters"""
384,"""@maddow I pray they recover swiftly 🙏🏻 #MAGA #WuhanVirus https://t.co/WeKk3fEW29"""
385,"""I’ve had no help from the GOP and i’m not the only #MAGA candidate to have these frustrations. If you really want to see a difference in D.C., back the new candidates that really care about this country and their community.\n\nI’m in my community every day and doing my part."""
386,"""⁦@realDonaldTrump⁩ supporters rally at polling place during #EarlyVoting in Virginia.  #TrumpSupporters #VoteBlue #Vote #BidenHarris2020 #BidensUnitingUS #BidenHarris #Biden2020 #BidenHarrisToSaveAmerica #JoeBiden #Biden #BidenHarris2020Landslide  https://t.co/uHDFXOkFlb"""
387,"""Hope Hicks draining the swamp #DrainTheSwamp #TrumpHasCovid https://t.co/KqtiGnGxIN"""
388,"""#TrumpSupporters you suck\n#Republicans you suck\nhttps://t.co/LBE68DQEtk"""
389,"""BIDEN’S WISCONSIN WELCOME PARTY: Just look at all those amazing #TrumpSupporters welcoming #JoeBiden to Manitowoc, Wisconsin! Such a friendly group. No rioting or burning anything to the ground!\n#NoHopeJoe\n#WisconsinIsTrumpCountry\nhttps://t.co/UzZg3Bk3Av"""
390,"""Name me one single way @JoeBiden can win over a 2016 Trump voter? Trump delivered on his promises from 2016 &amp; the #TrumpTrain is now BIGGER AND BETTER AND STRONGER THAN EVER BEFORE! 🇺🇸"""
391,"""Donald can't say there'll be a peaceful transfer of power because he has the #BoogalooBoys, #ProudBoys, neoNazis, KKK, AltRight and other #WhiteSupremacists lined up to commit #terrorism upon his orders. #TerroristsForTrump #TrumpSupporters\n#AmericaOrTrump\nhttps://t.co/UAqjT4EmOR"""
392,"""@realDonaldTrump Yeah she should have donated to #BuildTheWall right? https://t.co/nBtCU11F1n"""
393,"""@theblaze How come #Conservatives are too impotent and stupid to address the issue of RED STATE WELFARE and the massive wealth redistribution from the hardworking MAKER blue states to the lazy welfare red TAKER states? Why do #TrumpSupporters like being on their KNEES for the blue states? https://t.co/k0QOtGzCbK"""
394,"""I can second this message. It’s a lot of undercover #TrumpSupporters I come in contact with especially black peoples."""
395,"""⁦@pritipatel⁩ #BuildTheWall\n\nPriti Patel 'furious over asylum plan leaks' amid Channel barrage idea\n https://t.co/ljwCowGD8V"""
396,"""@doubleddana84 @GOPcanSUCKit @kastyle05 @1957Mom @andreanorred @AynRandPaulRyan @JoeBiden Your avi advertises your belief that masks are ineffective rendering your opinions to be null and void."""
397,"""@benshapiro Looking for the #TrumpSupporters to not be so condescending. Keep your eye on the real story. The #POTUS has never taken #COVID19 seriously, maybe now is the time, if not too late."""
398,"""That’s strange, I have never heard of @realstevecox but apparently he has blocked me... I wonder if Twitter has an instant #maga list that asshats that wish the president and the First Lady to die can instantly block https://t.co/2MKgoAFPdB"""
399,"""@TonyVenutiShow @ThisIsMarisTest @Lg32033 @Peeboo5 @AmericasJoker @TheGrayRider @dyro874 @Hogan_VA @ca_godwin @CouchDodge @GeneralGopher @SensibleSusan7 @WOP_45 @DFBHarvard @SusanIverach @308saiga @KLB4USA @JDPHD2 @jessix @okabaeri9111 @Brixea @7mdk7 @zx101z @blaw52 Thank You For Including me ❤👻\n❤🇺🇸❤🇺🇸❤\nIFBP MAGA KAG #BuildTheWall https://t.co/hFCdEMm3Aq"""
400,"""Can they treat hoaxes at Walter Reed? Asking for a friend!!! #MAGA https://t.co/0Zha0acpWs"""
401,"""Yesss 👏👏👏 She joined the #TrumpTrain https://t.co/2bFQjWTjbp"""
402,"""Big crowd at the Washington Monument for the #WalkAway rally today! https://t.co/B4tBEW1QuG"""
403,"""I literally spit out my coffee — laughing hysterically — watching this. This woman does Trump better than Trump. 🤣🤣\nhttps://t.co/WLGJnPUPVG"""
404,"""I am in Washington DC speaking at the #WalkAway event in front of the Washington Monument! \n\nI take the stage at 2:18pm ET!"""
405,"""Pundits &amp; Never-Trumpers still don't get why Trump's base remains so loyal to him. Here's why:\n\n-- Trump's endeavored to fulfill every promise he pledged to voters\n\n-- Trump is not politically correct\n\n-- Trump is consistently &amp; unapologetically pro-American\n\n-- Trump fights back"""
406,"""Another swamp to drain. Start with mass firings, Mr. President. Retire all the traitors! #DrainTheSwamp #MAGA"""
407,"""Hey #ReligiousRight #MAGA / #Christians: Here’s the REAL “WarOnChristmas,” you IGNORANT, GULLIBLE phuckers!! #MelaniaHatesChristmas \n🤣😂🤣\n\n https://t.co/omtSRCOtBE\n\n#tcot #BuildTheWall #MelaniaTapes #KAG #evangelicals #AmericaOrTrump #MerryChristmas #Christmas #UniteBlue #p2"""
408,"""@AOC Found the line for you #BuildTheWall #MAGA https://t.co/iwllpQsBAD"""
409,"""@dbongino He also said that #Trump called his #trumpsupporters deplorable.. Sorry but @JoeBidden that’s a lie and you are a terrible person .. \nJoe Bidden you are a compulsive lier. You are going to loose this election. #Trump2020"""
410,"""“Elections have consequences” @realDonaldTrump  thank GOD they do. #Debates2020  #trump #MakeAmericaGreatAgain"""
411,"""Need I say more... #trump #MakeAmericaGreatAgain #KeepAmericaGreat https://t.co/sMvaQN8e2k"""
412,"""Will @ElectQuinn become the first congresswoman to be in a hip hop music video?\n#Trump2020 #TrumpTrain #ElectQuinn \n🔥🔥🔥🔥 https://t.co/URpFnYDMfY"""
413,"""Remember this #Christmas, America: #MelaniaHatesChristmas!!\n\n#MelaniaHatesFoxNews\n#MelaniaTapes\n\n https://t.co/TNGD41YER0\n\n#tcot #BuildTheWall #ccot #Christians #evangelicals #MAGA #UniteBlue @FoxNews #ctot #AmericaOrTrump #p2"""
414,"""@thehill https://t.co/BXySQTMGYB Martha McSally a decorated Veteran, a Proven Leader who LOVES AMERICA and puts AMERICANS First. #MarthaMcSallyToSaveArizona #Arizona cannot afford a another Soros Funded Politicians Kelly ads nothing but lies. #2ndAmendment #BuildTheWall #AmericaFirst"""
415,"""We had to share this one 😂\n·\n·\n·\n·\n·\n·\n·\n·\n#trump #maga #kag #donaldtrump #conservative #republican #usa #trumptrain #makeamericagreatagain #america #keepamericagreat #qanon #draintheswamp #wwg #wga #americafirst #a #walkaway #trumpsupporters #presidenttrump #politics #democrats https://t.co/QIPV0BYO0Y"""
416,"""We’re finishing the wall and we’re keeping Texas SAFE! #BuildTheWall #MAGA #Trump2020 #KAG\n \nhttps://t.co/Xhrd8z1XL9"""
417,"""Also watching reporters in Louisville not state that almost every fire that's been set, every gun shot has not been from a Protester, but from the #ArmedMilitia. They are #TrumpSupporters! #TrumpIncitesViolence #BillBarrIncitesViolence"""
418,"""Hurricane Hanna - just now - blowing over Trump’s mighty border wall between the United States and Mexico.... https://t.co/0zNejNLYC9"""
419,"""The sick demented left who ⁦@JoeBiden⁩ ⁦@SenKamalaHarris⁩ ⁦@SpeakerPelosi⁩ lead are now taking the next step of assassination attempts? It’s unconscionable &amp; beyond anything I would have expected but we shouldn’t be surprised. They have declared war on us. https://t.co/KTDOobJHwT"""
420,"""#MAGA2020 #MAGA #Trump #TrumpSupporters #redpill #AllLivesMatter #WhiteSupremacy #WomenForTrump #BlacksForTrump \nWHAT THE FUCK ARE YOU DOING?\nHe’s killing you, he’s letting you die of #coronavirus #Covid_19 and he doesn’t fucking care! Why are you voting for this man? 🥺🤯"""
421,"""I’d be insincere if I didn’t admit that the momentary silence of #TrumpSupporters in “regroup/develop new talking points”  is peaceful. I am well aware that it is merely the quiet before the storm."""
422,"""Here's where words come back to haunt you. MANY times I had #TrumpSupporters come on my Twitter when I talk #COVID19 deaths and say \"""
423,"""Border Wall System Update:\n\n331 miles completed\n250 miles under construction\n157 miles under pre-construction\n\nTo see the latest on the Border Wall System go to:\nhttps://t.co/1P24vPbOcu https://t.co/gnc9fDJq4C"""
424,"""How do you feel about Trump supporters watching you vote?"""
425,"""#WalkAway Testimonial: “Our country has a lot of work to do…” https://t.co/6PGbAwSGrE via @YouTube"""
426,"""Hey #Maga!!!  Your boy done gone and caught that there Democrat hoax!!!  \n\nTool bags 😂😷"""
427,"""Genuine question: what will be the relationship between the majority of Americans, and Trumpists after this long, national nightmare ends -- and it will eventually end -- do people anticipate simply letting bygones by bygones with people who joined the Trump personality cult?"""
428,"""I guess he ain't black! 😂😂\n\n#bet #trumptrain\n\nhttps://t.co/qnf8ZtxVBI"""
429,"""We need a wall up north too. #BuildTheWall 😳🤮😂"""
430,"""Remember this #Christmas, America: #MelaniaHatesChristmas!!\n\n#MelaniaHatesFoxNews\n#MelaniaTapes\n\n https://t.co/9K8N796amG\n\n#tcot #BuildTheWall #ccot #Christians #evangelicals #MAGA #UniteBlue @FoxNews #ctot #AmericaOrTrump #p2"""
431,"""THIS WHAT YALL DOING?😭 #TrumpSupporters 🚶🏾‍♀️bye https://t.co/yt00BfaduY"""
432,"""Somehow the ever-macho #MAGA crowd believe having a pet dog emasculates you. MAGA hate dogs: https://t.co/RXLoL5Ro4q\n\n#tcot #BuildTheWall #Christians #evangelicals #ocra #UniteBlue #p2"""
433,"""So far there are no winners... only losers :(  (including the american ppl)\n\n#PresidentialDebate #MakeAmericaGreatAgain"""
434,"""Trump on covid\n\nFeb: \"""
435,"""And this is why we can't have low numbers. 😭🤦 For the most part, Utah people are #TrumpSupporters #COVIDIOTS. The picture is at a damn rodeo, in #StGeorgeUtah. There are #NoMasks to be seen, anywhere. I hope these people realize what danger they're placing the community in. https://t.co/vRC0jtzP0H"""
436,"""It looks like #TrumpSupporters are leaving early. #Trump is still talking. #TrumpRally"""
437,"""Hey #MAGA fools\n\nCOVIS's a hoax, huh?\nBe gone by April, huh?\nWe have it under control, huh?\nIt will be gone by summer, huh?\n\nHow long will you continue to listen to the pure lies and bullshit from that orange malignancy in the Oval Office."""
438,"""Cognitive dissonance is a hell of a thing.\n\n#TrumpSupporters #TrumpMeltdown \n\nI wonder how far down in her timeline I’ll have to go to find antisemitism. https://t.co/91fAwVi2SY"""
439,""".@JackPosobiec yes @BrandonStraka #WalkAway is going to Walter Reed."""
440,"""OMG🚨🚨🚨JUST DECLASSIFIED: The Russia hoax was Hillary’s plan, and the Obama-Biden White House was briefed on it. https://t.co/ytquclKKg1"""
441,"""Walter Reed source tells me POTUS is in high spirits, cracking jokes with staff."""
442,"""Best quote by President Trump @realDonaldTrump \n“I’ve done more in 47 months than you’ve done in 47 years.” \nEnough said!!!! 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲\n#KeepAmericaGreat2020 \n#MakeAmericaGreatAgain \n#PresidentialDebate2020"""
443,"""Best thing I've seen all day. 😂\n\n#RGB #FillTheSeat #BuildTheWall"""
444,"""And this from soldiers/professionals of the party &amp; people of no hate. \nThe D party I registered with 40 years ago is long gone. \nSo am I. \nOur president, support him or not,  is OUR president.\n@RealJamesWoods"""
445,"""Mark Meadows Rips FBI Director Wray Over Voter Fraud Testimony. Wray Is Utterly Ignorant In His Understanding Of Any Facts As They Are Known To Most. #DrainTheSwamp 🇺🇸\n https://t.co/8h1xJ52PPr #FoxNews"""
446,"""@realDonaldTrump Praying for you and Melania!! I know you have got to be tired. You work endlessly. Get some REST. ❤️🙏#Trump2020 #TrumpTrain"""
447,"""Comedy legend Rick Moranis hospitalized after random attack in NYC. His fans are out for blood. https://t.co/nG6ZnKGqMm"""
448,"""Illegals Caught at Border Jump 21.2 Percent From July. Criminals, Virus Carriers Keep Coming https://t.co/LZNdFg76fQ \nCDC #BuildTheWall"""
449,"""#TrumpSupporters \nNo respect for the men and women that fought for your freedoms. Think about, it is that patriotic?\nHe will sell you out in a minute...just plan evil. https://t.co/15KQ2afrOQ"""
450,"""#Trump Parade In Illinois Today As Far As The Eye Could See! \n#DrainTheSwamp \n#HurricaneCrossfire https://t.co/KJjuY2jMDl"""
451,"""Looks like a protest will be happening in front of Walter Reed! #protest #trump #TrumpSupporters #BLMprotest #protest #VoteHimOut #TrumpHasCorona @NBCNews @CBSNews @ABC7 https://t.co/Ht4V8yDCle"""
452,"""The woman who was arrested and charged with attempted murder after driving through a crowd of #TrumpSupporters in #California has been identified as an event organizer. https://t.co/0deS48Cjis"""
453,"""Yorba Linda, California \n\n#MAGA #TrumpTrain #California https://t.co/mCR93judFh"""
454,"""The decision is simple my friends:\n\nIf you want LAW &amp; ORDER within our Country, Vote Trump/Pence in November \n\nIf you don’t want LAW &amp; ORDER, Vote Biden.\n\nI’LL BE VOTING FOR TRUMP &amp; ALL GOP 🇺🇸\n#VoteGOP\n#VoteRed2020\n#VoteTrump2020\n#NationOfLaws \n#BuildTheWall\n#SecureOurBorders https://t.co/II0bsig2dz"""
455,"""You just gotta know that the @DNC is seeing Biden’s appearances and banging their heads against a wall. 😂 Speaking of wall, #BuildTheWall #IngrahamAngle"""
456,"""#TrumpSupporters! Please watch the video below and RETWEET ASAP! MASSIVE #ELECTIONFRAUD UNCOVERED!!! \n👇\nWatch \"""
457,"""@PhaedraXTeddy Why? this is happening under Trump."""
458,"""Doing my part to #MakeAmericaGreatAgain as it was in the 1970s! https://t.co/dET9Ducama"""
459,"""@DeAnna4Congress Maybe because Republicans feel they don't have to wear mask. #TrumpSupporters"""
460,"""Going to bed early tonight.\n\nTraveling to DC tomorrow for the huge gigantic massive humongous #WALKAWAY EVENT! :D\n\nGonna be hanging out with @tracybeanz and all the great #WalkAwayCampaign patriots! \n\nhttps://t.co/Rt0NZ6b1bD"""
461,"""#trump2020 #MakeAmericaGreatAgain ..Tyna guy😂 https://t.co/wykBrvdp2c"""
462,"""It’s astounding that after a massive family separation operation, mass sexual assault of detainees, trapping immigrants in COVID-infected detention centers, and now reports of mass hysterectomies (which the US has done before), abolishing ICE is controversial.\n\nWhere’s the line?"""
463,"""So much Trump merch in Tennessee, zero made in America. #TrumpSupporters #TrumpIsALaughingStock #TrumpIsANationalDisgrace https://t.co/AiG4yRE3we"""
464,"""I know @potus will be busy fighting his own battle right now but he needs to fire Wray now. Not tomorrow. Get a bulldog to #DrainTheSwamp while they can."""
465,"""I love the #WalkAway hashtag, but I seriously think we need to update it to #RunAway. \n\nThe Left is getting crazier by the minute, I don’t think we can walk fast enough anymore!"""
466,"""Trump Rally! \n@speer_ag \n\n#trump2020🇺🇸 #americafirst #usa🇺🇸 #makeamericagreatagain #vote #beheard @ Uvalde, Texas https://t.co/8VszGr279F"""
467,"""At the trump rally in Fayetteville, North Carolina. #TrumpSupporters #TrumpRally #trumprallyfayettevillenc https://t.co/o3GtfgKdSm"""
468,"""Less than 19K? Retweet and drop your handles let's follow you.🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗"""
470,"""$60mil write off for a private jet IN ONE YEAR per the business machinery &amp; equipment tax deduction expansion provision of the 2017 Corporate Tax Overhaul\n\nHow does the rationale of this policy align with #MakeAmericaGreatAgain ethos?"""
471,"""@realDonaldTrump @FLOTUS Xi well planned💪🏿\n#CCPChina #CCPVirus #MakeAmericaGreatAgain https://t.co/Gm0FCUE0Zs"""
472,"""Make America Native Again. \n#MakeAmericaGreatAgain #NativeAmerican https://t.co/UOjAyuR3cK"""
473,"""In a shocking new report, the #FakeNews media discovers something the American people knew all along... President Trump is a man of his word! #BuildTheWall #PromisesKept https://t.co/BSg7G7cswg"""
474,"""It's crazy how much abortion figures into the election (and in 2016). I'll never understand how people so passionate about the possibility of a fetus being aborted care so little about 200,000 dead from coronavirus. So far. #TrumpSupporters #reproductiverights"""
475,"""President Trump was in 7 different states in the 7 days leading up to his #COVID19 diagnosis.\n\nTrump has come into contact with top #TrumpAdministration officials, #SupremeCourt nominee #AmyConeyBarrett, and a number of #TrumpSupporters in the past week. https://t.co/1LiNu84iT6"""
476,"""@debraraes #BuildTheWall ...it's good for America!!! https://t.co/VMr5nJTZa7"""
477,"""The White House Knew Trump Had Likely Been Exposed to the Virus. He Traveled and Held Events Anyway. This is how much #Trump and @GOP admin cares about you #TrumpSupporters  https://t.co/FiGEKhew6A"""
478,"""Hey #TrumpSupporters it’s ok to say you messed up in 2016 and voted for the wrong guy. It is now time to fix it instead of making the same mistake a second time. Think about what he promised you, has he delivered any of it yet? #VoteBlue"""
479,"""Not the first Russian I exposed #maga ! https://t.co/yfwtuEiP10"""
480,"""GREAT first stop of Day Two on @TeamTrumpOnTour in Sioux City with Governor @KimReynoldsIA and @MattWhitaker46. Iowa is working hard to re-elect @realDonaldTrump to #MakeAmericaGreatAgain. https://t.co/yStUHw7el2"""
481,"""We don’t hear much about this incredible accomplishment by our president and his team.#BuildTheWall #KAG2020 #Trump2020 \n\nhttps://t.co/2IjN61n0Wk"""
482,"""As Trump gets a top taxpayer-financed Covid treatment, pls remember that he paid virtually no taxes and he is suing in court to try and take away healthcare of 30 million Americans. #RoseGardenMassacre #SuperSpreader #GOPSuperSpreaders #CovidCaughtTrump #TrumpHasCovid https://t.co/fjafPPREvF"""
483,"""@realDonaldTrump 🙏🙏🙏🙏❤️❤️❤️🙏🙏🙏🙏🙏🙏get well 4 more years 2 go  #MAGA https://t.co/BmwKNGJ0EQ"""
484,"""Dr. Conley said that we are \"""
485,"""@WildBill_1969 @ProjectLincoln So, in your estimation, the difference between Trump and Hitler was that Hitler had a dog? And having a dog is what made him worse?\n\n#TrumpSupporters logic. https://t.co/qXlG9iCSbY"""
486,"""It was a great day here in #Carlsbad,CA. It’s time to let that Ambien® kick in and call it a day. Wishing all of my followers, fellow #Patriots and #TrumpSupporters a great night.🌙 https://t.co/IJtLvwIqdh"""
487,"""We came to support and pray for our President. Congrats to @BrandonStraka for a spectacular event. #WalkAway  🇺🇸🇺🇸🇺🇸❤️🌈 https://t.co/JYIVTHvCFs"""
488,"""🇺🇸Amazing🇺🇸Thousands of cars in the Trump train today in the Northern panhandle of West Virginia🇺🇸Oh and 1 Biden supporter 🤣🤣🤣 🇺🇸Vote Trump 2020🇺🇸🙏\n#trumptrain🚂💨 #trump2020 #trumpcountry ⁦@realDonaldTrump⁩ https://t.co/bh1GnJBeS2"""
489,"""#MAGA We are standing by. #ProudBoysStandby @POTUS #republicans #EvangelicalsForTrump https://t.co/IfDFcCxp69"""
490,"""Subfin Equipment Supply\n\nSubfin Wholesale Commodities \n\nNew Construction Equipment \nSales\n#BuildTheWall \n#Congress"""
491,"""Do Trump Supporters understand what Fascism means?"""
492,"""It's really good news. All those who are members of communist party shouldn't reside in USA！ They are potential threaten to USA！！！#MakeAmericaGreatAgain https://t.co/PiprhK0ZjC"""
493,"""Greatness is in our future, if we vote #BidenHarris2020  in and vote #Trump out! #MakeAmericaGreatAgain https://t.co/EitSMqOCsD"""
494,"""@YourAnonNews Shut up bitc*  #MAGA https://t.co/oTR2jXBIPI"""
495,"""#MakeAmericaGreatAgain and fund education. https://t.co/TOqRQfoehx"""
496,"""nov 3rd is fast approaching #MAGA2020LandslideVictory #trumptrain https://t.co/MISt267Wcm"""
497,"""@KathleenRMC1 @robsevy Yep. She goes on, “Those disgusting people are the same people that he claims to care about. These are the people still going to his rallies today who have complete faith in who he is. The truth is he doesn’t actually care about anyone else but himself.”\n\nhttps://t.co/477Nj5qREP"""
498,"""I wish my dear president.@realDonaldTrump and his amiable wife,the first lady.@FLOTUS a very quick recovery. With God on our side,we must triumph.\n#MakeAmericaGreatAgain https://t.co/Rst2LMvsv4"""
499,"""@Blake_RESISTS @CanuckCognizant @GOP No they'll blame it on #Dems. They're hopeless #TrumpCult\n\n\"""
500,"""Psst...@realDonaldTrump (and let’s be real) @jaredkushner) it’s time to draft @CLewandowski_ to close this campaign out. He’s smart ferocious and loyal. #maga"""
501,"""Scottish independence party dumps co-founder for expressing support for Donald Trump https://t.co/xVkWaky0hp"""
502,"""FOUR MORE YEARS! Open your eyes 🇺🇸 #trumptrain"""
503,"""#MakeAmericaGreatAgain imagine voting for a racist https://t.co/bmX4EiakAl"""
505,"""To all #TrumpSupporters :😐 https://t.co/1UZm3O4Df2"""
506,"""All the more reasons that makes you human. \n\n#MakeAmericaGreatAgain 🇺🇸 https://t.co/zJYwVlZQkp"""
507,"""Mr. President @realDonaldTrump explaining the definition of peaceful protests of radical leftists. #MakeAmericaGreatAgain #Debates2020 #Elections2020 https://t.co/c20UUTpqt3"""
508,"""The US govt last week updated the survival rates (i.e., IF infected) for Covid19:\n\n0-19              99.997%\n20-49           99.98%\n50-69           99.5%\n70+               94.6%\n\nDidn't see it reported much.\n\nhttps://t.co/miFbqyb9pM"""
509,"""@JohnJHarwood Not in the least\n#MAGA"""
510,"""I’m about to speak at the #WalkAway march in DC! https://t.co/0inloMaPWY"""
511,"""Rumor from an insider:\n\nNewsmax has a lot conservative investor money behind them and see the opportunity to gain a ton of unhappy Fox viewers.\n \nYou betcha.\n\n#maga"""
512,"""We’ve got you covered in Dublin, OH! @realDonaldTrump #trumptrain https://t.co/66tI2wdFxK"""
513,"""Trump, Biden or who gives a fuck? #makeamericagreatagain #makeamericagreatagain🇺🇸 #trump2020 #biden2020 #reneegracie #renee https://t.co/XlDiCg49IE"""
514,"""Since they were left out of the first coronavirus relief package, #SpecialDistricts are now backing federal legislation that would make them eligible for any future #COVID19 relief funds.\n\nhttps://t.co/txASIomAJv\n\n#DistrictAdvocate @RSRPD_rec @CalleguasMWD @ConejoRPD"""
515,"""#Word stop the Hate #DrainTheSwamp https://t.co/JF5LMVxadU"""
516,"""#FakePresident #DonaldTrump said that Fake President Donald #TrumpSupporters are #DisgustingPeople"""
517,"""Going welI, I think! Thank you to all. LOVE!!!"""
518,"""#TrumpIsALiar evidence #1 claiming he is a successful millionaire, making 400K a year yet file little income tax ... how much #TrumpSupporters need to realize #TrumpIsTheWORSTPresidentEVER https://t.co/ES8G25zJjZ"""
519,"""#trumpsupporters I’m a ghost if I blow in the wrong direction y’all cry and blame each other I’m about to go break up another one a y’all be in heat head a$$ meetings w/ them weak a$$ sub sub plots af - bye"""
520,"""Trump supporters don't like trump for what he has done for them\n(Nothing). They like him for what he is doing to people they hate."""
521,"""https://t.co/LFOSsWB58M"""
522,"""Trump campaign’s in a bad, bad place right now"""
523,"""@enews Her husband knowingly was around people with it, compromising his wife &amp; child. That’s like bringing herpès home. #TrumpSupporters what sacrifice they make for a man who doesn’t give a flip about them. SMH 🤦‍♀️"""
524,"""People are wild. Even if you hate @realDonaldTrump you still have to know he is a dad and his wife is a mom. People have way to much hate. Even @JoeBiden who has more reason than most to hate him wishes him a speedy recovery. #WalkAway"""
525,"""@briandordevic Mexican Independence Day.... All good and fine but someone should let them know we are on to their reconquista plans.  This is not a conspiracy theory: https://t.co/rYN7eQoDuI\n\nMake English an official language and stop the \"""
526,"""California will be just like NYC!  They won't be able to Pay folks to live in that Sh*t Hole state!   Such a shame!  CA was once so beautiful! Now it's a burned out dump!  #MAGA \n#BuildTheWall   #TRUMP2020ToSaveAmerica"""
528,"""There are a lot of reasons to not like the man or question the wisdom of ⁦@JackrabbitFans⁩ but for his introduction to me of the cheap joy of the tri-tip I will be eternally in his debt. #bk4mayor22 #buildthewall #ftpierrewillpay https://t.co/qltPHDtAKl"""
529,"""Remove politicians from the Pentagon.\nSame asshats that keep fighting Trump.\n#DrainTheSwamp"""
530,"""@realDonaldTrump #michaelcohen Said #Trump was using the #evangelical \nAnd do not care about them.\n#TrumpSupporters #Pennsylvania Don't be stupid \nHe only wants your vote that's all. #VoteTrumpOut2020 #NotMyPresident"""
531,"""Thats awesome brother. Looks great, keep up the excellent work my friend. Maybe get to see you again one day 🤪 haha.\n\n#BuildTheWall\n#Trump2020Landslide\n\nHey Couy @CouyGriffinC4T @RideWithC4T check this out👇👇👇"""
532,"""Oh god! @realDonaldTrump @POTUS  quote “Stand back and standby by!” Seriously Mr. President. U couldn’t properly send a message against racists! Seem more like a command for your #TrumpSupporters  to wait to go crazy on Election Day! https://t.co/UFigNKl7xY"""
533,"""To the #TrumpSupporters this one is for you! #fucktrump https://t.co/Vfz8dpitDX"""
534,"""‘What a disgrace.’ — Sen. Chuck Schumer called out Pres. Trump for saying that COVID-19 deaths in blue states shouldn’t count https://t.co/nGCMDxUTmd"""
535,"""Three years ago today, Las Vegas was struck by tragedy when a gunman opened fire on the Route 91 Harvest Festival. It remains the deadliest mass shooting in modern U.S. history.\n\nAs we remember those we lost, we must take action to ensure it never happens again."""
536,"""Hillary Clinton’s former spokesperson.👇🏻👇🏼👇🏽👇🏾👇🏿 This is who they are! Let us never forget it! #GodBlessPresidentTrump #maga https://t.co/1MaDWUCa5c"""
537,"""THIS IS HUGE! #DrainTheSwamp"""
