,tweets
99,"""Trump's contempt for other people's health and safety has Secret Service agents angry https://t.co/skyiAwVOVy @GOP @Potus #TrumpSupporters #Trumpcovid #TrumpKnewAmericansDied #TrumpSuperSpreaders #GOPSuperSpreaders #GOPCorruptionOverCountry #GOPDeathCult"""
100,"""LAW &amp; ORDER!\n\n#MakeAmericaGreatAgain\n#TrumpPence2020\n#LawAndOrder https://t.co/zTroWQsR2f"""
101,"""We do have a weapon against #COVID19 all we need is to vote #BidenHarris2020 in and @realDonaldTrump out. I believe this is what will #MakeAmericaGreatAgain!!!"""
102,"""#MakeAmericaGreatAgain\n\nmake sure you guys catch the most important debate of the year Trump vs Chris Wallace https://t.co/dGLMG8HIY3"""
103,"""You stupid #TrumpSupporters that are blocking #voters are terrorists!! \nWill this never stop? Are you people that inbred that you can’t see what you are doing is wrong? \n#BidenHarris2020"""
104,"""If Pence takes control, Trump will never get the power back."""
105,"""Stay strong mister President! @realDonaldTrump ‘Stand back, stand by’ #corona #maga https://t.co/0QVNr8sMJm"""
106,"""✊🏾🌈🛑 RETWEET IF YOU LOVE EQUALITY, JUSTICE AND @JoeBiden! ✊🏾🌈🛑                                   LETS GET THIS #BIDENBUS GOING GUYS! (aka put the #TrumpTrain to shame.)               ...Jump in!... https://t.co/SL0O9rY2uR"""
107,"""Getting ready for the #270TrumpParade tomorrow! It's gonna be YUGE! #OhioTrumpsBiden #BuckeyeNationForTrump #WalkAwayOhio #Cbus #Blexit #Lexit #OhioTrumpParade #OhioForTrump #MAGA #KAG #Trump2020 #KAG2020 🇺🇸 https://t.co/vuFWkwbi6c"""
108,"""LOOK AT THIS CROWD!!! #WalkAway #Unsilent https://t.co/AaLVs7raIJ"""
109,"""Almost complete!Just gotta add some finishing touches 🇺🇸🇺🇸\n\n@realDonaldTrump \n\n#PresidentialDebate2020 #trumptrain #TrumpLandslide2020 https://t.co/OzcJ8J1qze"""
110,"""@JLPtalk 1 in 1000 black americans have died because of Trump. #maga #TrumpCovid"""
111,"""All the #trumpsupporters who were so anti-mask, even taking to guns to protest mask-wearing as though liberals were trying to kill them, are now crying for Trump. Ridiculous. Called it a hoax. Liberals should - and will - call out the hypocrasy and lies. #TrumpHasCovid"""
112,"""Register to VOTE! Deadline NOW! You are either voting for Capitalism or Socialism 🇺🇸🙏🥇⭐️ #TrumpTrain https://t.co/otxYwcTKnK"""
113,"""Hmmm. I didn’t even see these numbers mentioned in a news report, but to be fair I also was #BuildTheWall at my house. Wasn’t as great as our Presidents but it’s a work in progress. #COVID19"""
114,"""The Federalist's Sean Davis says sources tell him CIA Director Gina Haspel has been blocking further \"""
115,"""realDonaldTrump is asking for more support... let's help him! #MakeDonaldDrumpfAgain #MakeAmericaGreatAgain #Trump2016"""
116,"""Trump Jr. and Sean Hannity really enjoyed joking about COVID-19 precautions on debate night https://t.co/q3NjvVUqUs @DonaldJTrumpJr @seanhannity #GOPSuperSpreaders #TrumpSupporters #GOPCorruptionOverCountry #GOPHypocrisy #RepublicanCovidCluster #RepublicanVirus"""
117,"""We’re live NOW and starting SOON!!! #WalkAway’s #UNSILENT Majority March on DC‼️ Watch LIVE NOW: https://t.co/vrxPGyQydp\n@PeteHegseth @realDonaldTrump @LaraLeaTrump @FoxNews"""
118,"""@realDonaldTrump As long as it’s going well - maybe you have time to watch yourself.. and reflect... maybe send an apology... that would be #MAGA\n\nhttps://t.co/thcvhlZJnd"""
119,"""Can't wait for round two!#Trump #Debates2020 #MakeAmericaGreatAgain https://t.co/TVg4P2BmhJ"""
120,"""POLITICO: President Trump intends to appoint Tom Fitton to D.C. court oversight body which has power to remove certain judges for misconduct in district’s judiciary"""
121,"""Dutch 🇳🇱 Lawmakers Demand Answers After U.S. Ambassador 🇺🇸 Holds Party For Right-Wing Populists 🤬 At Embassy\n\nhttps://t.co/jY2Sv8eOR8\n\n#Netherlands 🇳🇱 #Europe 🇪🇺 #EU #UnitedStates 🇺🇸 #RightWing #Diplomacy #TrumpSupporters 😳 #TrumpIsANationalDisgrace 🤦‍♀️"""
122,"""#WhosSideAreYouOn\n#TrumpSupporters\n\nAfter Trump’s night of abhorrent bullying, how can anyone still stand by him?\nhttps://t.co/COtG6LMHZb"""
123,"""Fox News Pundits scrambling like rats over the last 24 hours trying to spin a new angle... 😂 \n\n#COVID19\n#MakeAmericaGreatAgain\n#WearAMask https://t.co/f1cLSOKYX3"""
124,"""Time to live life without worrying about the expectations of others. 🇺🇸#MakeAmericaGreatAgain🇺🇸 https://t.co/0044pyENfh"""
125,"""Nightmare Scenario: @TomFitton fears the radical left will count votes weeks after Election Day &amp; work with Big Tech to suppress &amp; censor any concerns about voter fraud.  #MAGA #AmericaFirst #Dobbs https://t.co/WeVHik3lJA"""
126,"""#trump #maga #kag #republican #conservative #donaldtrump #usa #keepamericagreat #makeamericagreatagain #qanon #wga #america #draintheswamp #americafirst #trumpsupporters #walkaway #thegreatawakening #fakenews"""
127,"""Fucking trump supporters on the over pass with their make America great again hats and American flags! Fuck trump #WalnutCreek  Location  \nel curtola blvd! #trump #TrumpSupporters https://t.co/feuuPLbeTD"""
128,"""Our GREAT RALLY tonight in Pennsylvania. Tremendous energy! #MAGA https://t.co/kL29rJe6sh"""
129,"""Today we meet at Freedom Plaza in DC at 11 AM and March to Sylvan theater for our big big big rally tomorrow beginning at 12:30 PM at Sylvan! Let’s do this!!!! #UNSILENT #WalkAway"""
130,"""Count me in!  #MakeAmericaGreatAgain"""
131,"""@realDonaldTrump This is my father-in-law, Mr. Donald Pertuset.  He is a 90+ yo Korean War Navy Veteran, father, grandfather, great-grandfather, and great-great-grandfather. He is one of your biggest supporters and wants everyone to know it.  #Trump2020 #MakeAmericaGreatAgain https://t.co/bRDjFSJRcD"""
132,"""Wonder whatever happened to this absolute moron?\n#WearAMask #COVIDIOTS #StupidPeople #TrumpSupporters \nhttps://t.co/LlGHllCUwL"""
133,"""I vote Trump #2020 #usa #🇺🇸🇺🇸 #MakeAmericaGreatAgain https://t.co/WVbNApYfD3"""
134,"""The #TrumpTrain running on all cylinders!\nBut the Biden Bus done broke down\n#BidenBusDoneBrokeDown"""
135,"""#TrumpSupporters Please use good self care right now!! Stay Healthy! We are no good as a TEAM 🇺🇸 if we can’t make it to the polls, tweet, rally, boat parades, truck parades..he needs US! #FluShot2020 https://t.co/9HUTDNkWXd"""
136,"""So #TrumpHasCovid and there are all these people spewing hate and wishing that he die. \n\nPersonally, I don’t wish that from hate.  \n\nI just think it might be an expedient way to deal with a problem and find a quick way to #MakeAmericaGreatAgain   💁🏼‍♂️"""
137,"""#CoronavirusExpress #TrumpTrain is in full speed."""
